source,source_facility_id,hospital_name,state,district,pincode,latitude,longitude,classification,match_reason
"ABDM_HFR","IN-TN-CHN-0001","Rajiv Gandhi Government General Hospital & Madras Medical College","Tamil Nadu","Chennai","600003",13.082264,80.278358,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0002","Government Stanley Medical College Hospital","Tamil Nadu","Chennai","600001",13.107026,80.287413,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0003","Government Kilpauk Medical College Hospital","Tamil Nadu","Chennai","600010",13.078411,80.241512,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0004","Tamil Nadu Government Multi Super Speciality Hospital (Omandurar)","Tamil Nadu","Chennai","600002",13.069415,80.274812,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0005","Government Royapettah Hospital","Tamil Nadu","Chennai","600014",13.053821,80.261215,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0006","Government Kasturba Gandhi Hospital for Women and Children","Tamil Nadu","Chennai","600005",13.061214,80.277815,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0007","Institute of Child Health and Hospital for Children (Egmore)","Tamil Nadu","Chennai","600008",13.074512,80.258412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0008","Regional Institute of Ophthalmology and Government Ophthalmic Hospital","Tamil Nadu","Chennai","600008",13.072145,80.259812,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0009","Apollo Hospitals (Greams Road)","Tamil Nadu","Chennai","600006",13.056624,80.251412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0010","Apollo Speciality Hospitals (Vanagaram)","Tamil Nadu","Chennai","600095",13.050512,80.147812,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0011","Kauvery Hospital (Alwarpet)","Tamil Nadu","Chennai","600018",13.036112,80.254112,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0012","MIOT International Hospital","Tamil Nadu","Chennai","600089",13.023812,80.187412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0013","Fortis Malar Hospital (Adyar)","Tamil Nadu","Chennai","600020",13.006112,80.258412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0014","SIMS Hospital (Vadapalani)","Tamil Nadu","Chennai","600026",13.051412,80.209812,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0015","MGM Healthcare (Aminjikarai)","Tamil Nadu","Chennai","600029",13.071812,80.218412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0016","Dr. Mehta’s Hospitals (Chetpet)","Tamil Nadu","Chennai","600031",13.072912,80.239812,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0017","Vijaya Hospital (Vadapalani)","Tamil Nadu","Chennai","600026",13.051912,80.212412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0018","Sundaram Medical Foundation (Anna Nagar)","Tamil Nadu","Chennai","600040",13.086412,80.211812,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0019","Gleneagles Health City (Perumbakkam)","Tamil Nadu","Chennai","600100",12.906112,80.198412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0020","Sri Ramachandra Hospital & Research Institute (Porur)","Tamil Nadu","Chennai","600116",13.036812,80.141812,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0021","Dr. Rela Institute & Medical Centre (Chromepet)","Tamil Nadu","Chengalpattu","600044",12.951412,80.141212,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHN-0022","Chettinad Hospital & Research Institute (Kelambakkam)","Tamil Nadu","Chengalpattu","603103",12.788412,80.221412,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-COI-0023","Coimbatore Medical College Hospital","Tamil Nadu","Coimbatore","641018",11.0168,76.9558,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-COI-0024","PSG Hospitals & GKNM Hospital","Tamil Nadu","Coimbatore","641018",11.0288,76.9708,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-COI-0025","Government Taluk Hospital, Coimbatore","Tamil Nadu","Coimbatore","641018",10.9988,76.9438,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-MAD-0026","Government Rajaji Hospital (GRH Madurai)","Tamil Nadu","Madurai","625020",9.9252,78.1198,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-MAD-0027","Meenakshi Mission Hospital & Research Centre","Tamil Nadu","Madurai","625020",9.9372,78.1348,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-MAD-0028","Government Taluk Hospital, Madurai","Tamil Nadu","Madurai","625020",9.9072,78.1078,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0029","Mahatma Gandhi Memorial Government Hospital (KAPV)","Tamil Nadu","Tiruchirappalli","620001",10.7905,78.7047,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0030","Kauvery Hospital Cantonment Trichy","Tamil Nadu","Tiruchirappalli","620001",10.8025,78.7197,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0031","Government Taluk Hospital, Tiruchirappalli","Tamil Nadu","Tiruchirappalli","620001",10.7725,78.6927,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-SAL-0032","Government Mohan Kumaramangalam Medical College Hospital","Tamil Nadu","Salem","636001",11.6643,78.146,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-SAL-0033","Manipal Hospital Salem","Tamil Nadu","Salem","636001",11.6763,78.161,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-SAL-0034","Government Taluk Hospital, Salem","Tamil Nadu","Salem","636001",11.6463,78.134,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0035","Tirunelveli Medical College Hospital (TVMCH)","Tamil Nadu","Tirunelveli","627011",8.7139,77.7567,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0036","Galaxy Hospital Tirunelveli","Tamil Nadu","Tirunelveli","627011",8.7259,77.7717,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0037","Government Taluk Hospital, Tirunelveli","Tamil Nadu","Tirunelveli","627011",8.6959,77.7447,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-VEL-0038","Government Vellore Medical College Hospital (Adukkamparai)","Tamil Nadu","Vellore","632004",12.9165,79.1325,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-VEL-0039","Christian Medical College (CMC) Hospital","Tamil Nadu","Vellore","632004",12.9285,79.1475,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-VEL-0040","Government Taluk Hospital, Vellore","Tamil Nadu","Vellore","632004",12.8985,79.1205,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-THA-0041","Thanjavur Medical College Hospital (TMCH)","Tamil Nadu","Thanjavur","613004",10.787,79.1378,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-THA-0042","Meenakshi Hospital Thanjavur","Tamil Nadu","Thanjavur","613004",10.799,79.1528,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-THA-0043","Government Taluk Hospital, Thanjavur","Tamil Nadu","Thanjavur","613004",10.769,79.1258,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHE-0044","Chengalpattu Government Medical College Hospital","Tamil Nadu","Chengalpattu","603001",12.6841,79.9836,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHE-0045","Gleneagles Global Hospital","Tamil Nadu","Chengalpattu","603001",12.6961,79.9986,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-CHE-0046","Government Taluk Hospital, Chengalpattu","Tamil Nadu","Chengalpattu","603001",12.6661,79.9716,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0047","Government Tiruvallur Medical College Hospital","Tamil Nadu","Tiruvallur","602001",13.1437,79.9083,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0048","Apollo Speciality Hospital Vanagaram","Tamil Nadu","Tiruvallur","602001",13.1557,79.9233,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-TIR-0049","Government Taluk Hospital, Tiruvallur","Tamil Nadu","Tiruvallur","602001",13.1257,79.8963,"NEW","NO_MATCH"
"ABDM_HFR","IN-TN-KAN-0050","District Headquarters Hospital Kanchipuram","Tamil Nadu","Kanchipuram","631502",12.8342,79.7036,"NEW","NO_MATCH"
