id,latitude,longitude,location,state,district,pincode,hospital_name,hospital_category,hospital_care_type,specialties,facilities,emergency_services,website,phone,source_name,source_facility_id,source_record_id,data_quality_status,coordinate_quality_status,validation_errors
30001,13.0945,80.2642,"POINT(80.2642 13.0945)","Tamil Nadu","Chennai","600012","GCC Urban Community Health Centre, Pulianthope","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1001",30001,CLEANED,VALID_COORDINATE,
30002,13.0212,80.2235,"POINT(80.2235 13.0212)","Tamil Nadu","Chennai","600015","GCC Urban Community Health Centre, Saidapet","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1002",30002,CLEANED,VALID_COORDINATE,
30003,13.0789,80.2241,"POINT(80.2241 13.0789)","Tamil Nadu","Chennai","600030","GCC Urban Community Health Centre, Shenoy Nagar","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1003",30003,CLEANED,VALID_COORDINATE,
30004,13.0984,80.2312,"POINT(80.2312 13.0984)","Tamil Nadu","Chennai","600023","GCC Urban Community Health Centre, Ayanavaram","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1004",30004,CLEANED,VALID_COORDINATE,
30005,13.1612,80.3012,"POINT(80.3012 13.1612)","Tamil Nadu","Chennai","600019","GCC Urban Community Health Centre, Thiruvottiyur","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1005",30005,CLEANED,VALID_COORDINATE,
30006,13.1489,80.2314,"POINT(80.2314 13.1489)","Tamil Nadu","Chennai","600060","GCC Urban Community Health Centre, Madhavaram","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1006",30006,CLEANED,VALID_COORDINATE,
30007,13.1145,80.1541,"POINT(80.1541 13.1145)","Tamil Nadu","Chennai","600053","GCC Urban Community Health Centre, Ambattur","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1007",30007,CLEANED,VALID_COORDINATE,
30008,13.0412,80.1745,"POINT(80.1745 13.0412)","Tamil Nadu","Chennai","600087","GCC Urban Community Health Centre, Valasaravakkam","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1008",30008,CLEANED,VALID_COORDINATE,
30009,13.0041,80.2012,"POINT(80.2012 13.0041)","Tamil Nadu","Chennai","600016","GCC Urban Community Health Centre, Alandur","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1009",30009,CLEANED,VALID_COORDINATE,
30010,13.0068,80.2541,"POINT(80.2541 13.0068)","Tamil Nadu","Chennai","600020","GCC Urban Community Health Centre, Adyar","Municipal Government (GCC)","Urban Community Health Centre","General OPD, Maternal & Child Health, Immunization, Non-Communicable Diseases (NCD) Screening, Geriatric Care","24x7 Delivery Care, Diagnostic Lab, Pharmacy, Observation Beds (10-30 Beds), Ambulance Link","Emergency First Aid & 24x7 Obstetric Referral","https://chennaicorporation.gov.in","044-25619511","TN_HMIS","TNHMIS-CHN-1010",30010,CLEANED,VALID_COORDINATE,
