id,latitude,longitude,location,state,district,pincode,hospital_name,hospital_category,hospital_care_type,specialties,facilities,emergency_services,website,phone,source_name,source_facility_id,source_record_id,data_quality_status,coordinate_quality_status,validation_errors
20001,13.082264,80.278358,"POINT(80.278358 13.082264)","Tamil Nadu","Chennai","600003","Rajiv Gandhi Government General Hospital & Madras Medical College","Public/ Government","Government Teaching Hospital","General Medicine, General Surgery, Cardiology, Cardiothoracic Surgery, Neurology, Neurosurgery, Nephrology, Urology, Oncology, Orthopaedics, Paediatrics, ENT, Ophthalmology, Gastroenterology, Plastic Surgery, Rheumatology, Emergency Medicine","Ambulance, Blood Bank, 24x7 Casualty, 3500 Beds, 450 ICU Beds, CT Scan, MRI, Cath Lab, Dialysis Unit, Organ Transplant Centre, Central Pharmacy","24x7 Trauma & Emergency Care","https://mmc.ac.in","044-25305000","ABDM_HFR","IN-TN-CHN-0001",20001,CLEANED,VALID_COORDINATE,
20002,13.107026,80.287413,"POINT(80.287413 13.107026)","Tamil Nadu","Chennai","600001","Government Stanley Medical College Hospital","Public/ Government","Government Teaching Hospital","General Surgery, Surgical Gastroenterology, Liver Transplant, Plastic & Reconstructive Surgery, Hand Surgery, Nephrology, Urology, Cardiology, Paediatrics","Ambulance, Blood Bank, 24x7 Casualty, 2000 Beds, 200 ICU Beds, Advanced Liver Care Centre, Dialysis, Digital X-Ray, Pharmacy","24x7 Emergency Care","https://stanleymc.ac.in","044-25281351","ABDM_HFR","IN-TN-CHN-0002",20002,CLEANED,VALID_COORDINATE,
20003,13.078411,80.241512,"POINT(80.241512 13.078411)","Tamil Nadu","Chennai","600010","Government Kilpauk Medical College Hospital","Public/ Government","Government Teaching Hospital","Burns & Plastic Surgery, General Medicine, General Surgery, Paediatrics, Obstetrics & Gynaecology, Orthopaedics, ENT, Dermatology, Psychiatry","Ambulance, Blood Bank, Regional Burns Centre, 24x7 Emergency Room, 1200 Beds, ICU, Pharmacy","24x7 Emergency Services","https://gkmc.in","044-28364951","ABDM_HFR","IN-TN-CHN-0003",20003,CLEANED,VALID_COORDINATE,
20004,13.069415,80.274812,"POINT(80.274812 13.069415)","Tamil Nadu","Chennai","600002","Tamil Nadu Government Multi Super Speciality Hospital (Omandurar)","Public/ Government","Super Speciality Hospital","Cardiology, Cardio Thoracic Surgery, Neurology, Neuro Surgery, Medical Oncology, Surgical Oncology, Nephrology, Urology, Robotic Surgery, Vascular Surgery","Ambulance, Advanced Cath Lab, 3T MRI, 128 Slice CT, Robotic Surgery Theatre, Dialysis Unit, Day Care Chemotherapy, 500 Beds","24x7 Cardiac & Neuro Emergency","https://tngmsssh.tn.gov.in","044-25366120","ABDM_HFR","IN-TN-CHN-0004",20004,CLEANED,VALID_COORDINATE,
20005,13.053821,80.261215,"POINT(80.261215 13.053821)","Tamil Nadu","Chennai","600014","Government Royapettah Hospital","Public/ Government","Government Hospital","Surgical Oncology, Medical Oncology, Accident & Emergency, General Surgery, Orthopaedics, ENT, Gynaecology, Dermatology","Ambulance, 24x7 Accident Trauma Care, 750 Beds, Chemotherapy Day Care, Blood Bank, Pharmacy","24x7 Trauma & Accident Care","https://tnhealth.tn.gov.in","044-28483051","ABDM_HFR","IN-TN-CHN-0005",20005,CLEANED,VALID_COORDINATE,
20006,13.061214,80.277815,"POINT(80.277815 13.061214)","Tamil Nadu","Chennai","600005","Government Kasturba Gandhi Hospital for Women and Children","Public/ Government","Maternity & Paediatric Hospital","Obstetrics, Gynaecology, High Risk Pregnancy, Neonatology, NICU, Paediatrics","Ambulance, 24x7 Labour Ward, Level III NICU, Blood Bank, Ultrasound Sonography, 800 Beds","24x7 Emergency Obstetric Care","https://tnhealth.tn.gov.in","044-28444200","ABDM_HFR","IN-TN-CHN-0006",20006,CLEANED,VALID_COORDINATE,
20007,13.074512,80.258412,"POINT(80.258412 13.074512)","Tamil Nadu","Chennai","600008","Institute of Child Health and Hospital for Children (Egmore)","Public/ Government","Super Speciality Paediatric Hospital","Paediatric Medicine, Paediatric Surgery, Paediatric Cardiology, Paediatric Neurology, Paediatric Nephrology, Neonatology, PICU","Ambulance, Level III PICU, NICU, Emergency Paediatric Triage, 850 Beds, Genetic Lab","24x7 Paediatric Emergency","https://ich.tn.gov.in","044-28191982","ABDM_HFR","IN-TN-CHN-0007",20007,CLEANED,VALID_COORDINATE,
20008,13.072145,80.259812,"POINT(80.259812 13.072145)","Tamil Nadu","Chennai","600008","Regional Institute of Ophthalmology and Government Ophthalmic Hospital","Public/ Government","Ophthalmology Super Speciality","Cornea, Cataract, Glaucoma, Retina & Vitreous, Paediatric Ophthalmology, Oculoplasty, Neuro-Ophthalmology","24x7 Eye Casualty, Eye Bank, Lasik Theatre, Optical Biometry, 450 Beds","24x7 Eye Emergency & Trauma","https://rio.tn.gov.in","044-28192080","ABDM_HFR","IN-TN-CHN-0008",20008,CLEANED,VALID_COORDINATE,
20009,13.056624,80.251412,"POINT(80.251412 13.056624)","Tamil Nadu","Chennai","600006","Apollo Hospitals (Greams Road)","Private","Multi Speciality Tertiary Hospital","Cardiology, Cardio Thoracic Surgery, Oncology, Organ Transplants, Neurology, Neurosurgery, Orthopaedics, Nephrology, Gastroenterology, Critical Care","24x7 Emergency Room, Ambulance, NABH Accredited Blood Bank, 600 Beds, 120 ICU Beds, 3T MRI, PET CT, Da Vinci Robotic System, Dialysis","24x7 Emergency & Heart Attack Care","https://apollohospitals.com","044-28290200","ABDM_HFR","IN-TN-CHN-0009",20009,CLEANED,VALID_COORDINATE,
20010,13.050512,80.147812,"POINT(80.147812 13.050512)","Tamil Nadu","Chennai","600095","Apollo Speciality Hospitals (Vanagaram)","Private","Multi Speciality Hospital","Trauma Care, Cardiology, Neurosciences, Orthopaedics & Spine Surgery, Critical Care, Emergency Medicine","Ambulance, 24x7 Trauma Centre, 260 Beds, 60 ICU Beds, Cath Lab, MRI, 24x7 Pharmacy","24x7 Trauma & Emergency Centre","https://apollohospitals.com","044-26537777","ABDM_HFR","IN-TN-CHN-0010",20010,CLEANED,VALID_COORDINATE,
