source_facility_id,hospital_name,district,pincode,classification,matched_existing_name,notes
"IN-TN-CHN-0001","Rajiv Gandhi Government General Hospital & Madras Medical College","Chennai","600003","POSSIBLE_DUPLICATE","general hospital","Sub-string keyword overlap"
"IN-TN-CHN-0002","Government Stanley Medical College Hospital","Chennai","600001","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-CHN-0003","Government Kilpauk Medical College Hospital","Chennai","600010","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-CHN-0004","Tamil Nadu Government Multi Super Speciality Hospital (Omandurar)","Chennai","600002","POSSIBLE_DUPLICATE","speciality hospital","Sub-string keyword overlap"
"IN-TN-CHN-0005","Government Royapettah Hospital","Chennai","600014","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-CHN-0006","Government Kasturba Gandhi Hospital for Women and Children","Chennai","600005","POSSIBLE_DUPLICATE","dr","Sub-string keyword overlap"
"IN-TN-CHN-0007","Institute of Child Health and Hospital for Children (Egmore)","Chennai","600008","POSSIBLE_DUPLICATE","dr","Sub-string keyword overlap"
"IN-TN-CHN-0008","Regional Institute of Ophthalmology and Government Ophthalmic Hospital","Chennai","600008","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-CHN-0009","Apollo Hospitals (Greams Road)","Chennai","600006","POSSIBLE_DUPLICATE","apollo hospitals","Sub-string keyword overlap"
"IN-TN-CHN-0010","Apollo Speciality Hospitals (Vanagaram)","Chennai","600095","POSSIBLE_DUPLICATE","apollo speciality hospital","Sub-string keyword overlap"
"IN-TN-CHN-0011","Kauvery Hospital (Alwarpet)","Chennai","600018","POSSIBLE_DUPLICATE","kauvery hospital","Sub-string keyword overlap"
"IN-TN-CHN-0012","MIOT International Hospital","Chennai","600089","POSSIBLE_DUPLICATE","international hospital","Sub-string keyword overlap"
"IN-TN-CHN-0013","Fortis Malar Hospital (Adyar)","Chennai","600020","POSSIBLE_DUPLICATE","fortis malar hospital","Sub-string keyword overlap"
"IN-TN-CHN-0014","SIMS Hospital (Vadapalani)","Chennai","600026","NEW","","Brand new Tamil Nadu facility record"
